Feature	Variable Importance
PROX1_MA0794.1	3.05E-07
TCF7L1_MA1421.1	3.04E-07
XBP1_MA0844.1	2.86E-07
GLI2_MA0734.1	2.56E-07
TGIF2_MA0797.1	2.49E-07
RFX4_MA0799.1	2.47E-07
STAT1_MA0137.1	2.43E-07
RFX3_MA0798.1	2.39E-07
Pax6_MA0069.1	2.30E-07
HOXC12_MA0906.1	2.23E-07
SCRT1_MA0743.1	2.23E-07
NFIC::TLX1_MA0119.1	2.21E-07
ZBTB7B_MA0694.1	1.68E-07
JUN::JUNB(var.2)_MA1133.1	1.64E-07
YY2_MA0748.1	1.64E-07
ZIC1_MA0696.1	1.53E-07
TP53_MA0106.2	1.52E-07
NR1A4::RXRA_MA1146.1	1.52E-07
CEBPG_MA0838.1	1.48E-07
NFKB2_MA0778.1	1.38E-07
RFX5_MA0510.2	1.25E-07
CREB3_MA0638.1	1.25E-07
FLI1_MA0475.2	1.24E-07
FOSB::JUN_MA1127.1	9.79E-08
CENPB_MA0637.1	8.41E-08
ELK1_MA0028.2	7.95E-08
NR2C2_MA0504.1	7.67E-08
HNF1B_MA0153.2	7.66E-08
ZIC4_MA0751.1	7.66E-08
REST_MA0138.1	7.63E-08
NFKB1_MA0105.4	7.59E-08
NR3C1_MA0113.3	6.20E-08
FOSL2::JUND(var.2)_MA1145.1	5.72E-08
USF2_MA0526.2	4.56E-08
PKNOX1_MA0782.1	1.93E-08
JDP2(var.2)_MA0656.1	1.17E-08
IRF2_MA0051.1	0
PPARG::RXRA_MA0065.1	0
PPARG_MA0066.1	0
RXRA::VDR_MA0074.1	0
TP53_MA0106.1	0
ESR1_MA0112.1	0
NR1H2::RXRA_MA0115.1	0
REST_MA0138.2	0
ESR1_MA0112.2	0
MAFF_MA0495.1	0
TP63_MA0525.1	0
ZBTB33_MA0527.1	0
IRF1_MA0050.2	0
PAX5_MA0014.2	0
ELF3_MA0640.1	0
ELF4_MA0641.1	0
IRF8_MA0652.1	0
IRF9_MA0653.1	0
KLF13_MA0657.1	0
MAFG_MA0659.1	0
POU4F2_MA0683.1	0
SP4_MA0685.1	0
SPI1_MA0080.4	0
T_MA0009.2	0
ZIC3_MA0697.1	0
RARA_MA0729.1	0
RARA(var.2)_MA0730.1	0
BCL6B_MA0731.1	0
EGR3_MA0732.1	0
GLIS1_MA0735.1	0
GLIS3_MA0737.1	0
ZBED1_MA0749.1	0
ZNF143_MA0088.2	0
ZNF410_MA0752.1	0
E2F3_MA0469.2	0
E2F7_MA0758.1	0
ELF1_MA0473.2	0
IRF7_MA0772.1	0
MYBL1_MA0776.1	0
MYBL2_MA0777.1	0
PAX1_MA0779.1	0
PAX9_MA0781.1	0
PKNOX2_MA0783.1	0
TBX19_MA0804.1	0
BATF3_MA0835.1	0
CREB3L1_MA0839.1	0
RXRB_MA0855.1	0
RXRG_MA0856.1	0
TP63_MA0525.2	0
TP53_MA0106.3	0
MTF1_MA0863.1	0
E2F2_MA0864.1	0
SOX21_MA0866.1	0
SOX4_MA0867.1	0
SOX8_MA0868.1	0
MAFF_MA0495.2	0
MAFK_MA0496.2	0
ZNF282_MA1154.1	0
ZSCAN4_MA1155.1	0
PPARA::RXRA_MA1148.1	0
EGR1_MA0162.3	0
IRF3_MA1418.1	0
IRF4_MA1419.1	0
IRF5_MA1420.1	0
EHF_MA0598.2	-9.89E-11
SIX2_MA1119.1	-8.99E-10
ATF7_MA0834.1	-1.28E-09
RFX2_MA0600.2	-2.24E-08
MEF2D_MA0773.1	-2.68E-08
ESR2_MA0258.1	-2.98E-08
CREB1_MA0018.1	-3.08E-08
LEF1_MA0768.1	-5.31E-08
EGR2_MA0472.2	-5.68E-08
HINFP_MA0131.1	-6.44E-08
ESR1_MA0112.3	-7.33E-08
NFYA_MA0060.2	-7.43E-08
CTCF_MA0139.1	-7.43E-08
SRF_MA0083.3	-7.53E-08
TP73_MA0861.1	-7.61E-08
ZBTB7A_MA0750.1	-7.64E-08
EGR4_MA0733.1	-7.67E-08
TGIF1_MA0796.1	-8.01E-08
E2F8_MA0865.1	-9.00E-08
RFX2_MA0600.1	-9.57E-08
NR2F1_MA0017.1	-1.08E-07
NR3C1_MA0113.1	-1.48E-07
FOS::JUN(var.2)_MA1126.1	-1.51E-07
HNF1A_MA0046.2	-1.52E-07
RARA::RXRA_MA0159.1	-1.53E-07
ATF4_MA0833.1	-1.53E-07
GLIS2_MA0736.1	-1.87E-07
POU4F1_MA0790.1	-2.10E-07
NR4A2::RXRA_MA1147.1	-2.29E-07
E2F1_MA0024.3	-2.29E-07
POU4F3_MA0791.1	-2.30E-07
POU1F1_MA0784.1	-2.70E-07
CLOCK_MA0819.1	-2.90E-07
BHLHE41_MA0636.1	-3.11E-07
SRF_MA0083.1	-3.53E-07
SREBF2(var.2)_MA0828.1	-4.12E-07
SMAD2::SMAD3::SMAD4_MA0513.1	-4.13E-07
SPDEF_MA0686.1	-5.29E-07
MLX_MA0663.1	-6.20E-07
RREB1_MA0073.1	-6.36E-07
PLAG1_MA0163.1	-6.41E-07
KLF14_MA0740.1	-6.65E-07
ELK4_MA0076.1	-6.73E-07
SCRT2_MA0744.1	-6.84E-07
PBX3_MA1114.1	-7.29E-07
FOSL2::JUNB(var.2)_MA1139.1	-8.82E-07
EBF1_MA0154.3	-9.69E-07
FOXF2_MA0030.1	-1.90E-06
GBX1_MA0889.1	-2.77E-06
